Date,Time,Open,High,Low,Close
20121101,9:16,5615.45,5615.55,5608.75,5613.1
20121101,9:17,5611.9,5613.05,5609.6,5610.8
20121101,9:18,5610.6,5610.85,5606.1,5606.8
20121101,9:19,5606.6,5607.7,5605.1,5605.1
20121101,9:20,5605.45,5609.05,5605.45,5608.45
20121101,9:21,5608.4,5611.5,5606.8,5606.8
20121101,9:22,5608,5609.65,5606.75,5608.7
20121101,9:23,5609.35,5609.35,5604.25,5604.8
20121101,9:24,5604.85,5608.75,5604.85,5608.05
20121101,9:25,5608.6,5611.25,5608.3,5608.8
20121101,9:26,5608.85,5608.85,5606.4,5607.55
20121101,9:27,5607.7,5607.95,5604.15,5604.6
20121101,9:28,5604.55,5606.6,5603.45,5606.6
20121101,9:29,5606.65,5608.7,5606.45,5608.55
20121101,9:30,5608.75,5609.7,5608.2,5609.7
20121101,9:31,5609.75,5613.35,5609.75,5611.35
20121101,9:32,5611.6,5613.75,5610.95,5613.75
20121101,9:33,5613.85,5616.05,5613.2,5615.35
20121101,9:34,5615.45,5618.6,5615.25,5618.1
20121101,9:35,5617.9,5617.9,5615.3,5616.5
20121101,9:36,5616.75,5617.2,5616,5616.8
20121101,9:37,5616.3,5618.7,5616.3,5618.2
20121101,9:38,5618.3,5618.3,5616.7,5617.05
20121101,9:39,5617.15,5618.35,5616.95,5618.1
20121101,9:40,5618.4,5618.4,5615.3,5615.3
20121101,9:41,5615.6,5615.6,5613.6,5613.6
20121101,9:42,5613.5,5613.7,5612.25,5612.45
20121101,9:43,5612.75,5615.45,5612.65,5614.2
20121101,9:44,5613.85,5617,5613.85,5615.45
20121101,9:45,5615.5,5616.5,5614.7,5616.3
20121101,9:46,5616.35,5617,5615.6,5616.8
20121101,9:47,5617,5618.05,5617,5617.25
20121101,9:48,5617.35,5618.15,5616.8,5617.1
20121101,9:49,5617.05,5617.05,5615.6,5615.9
20121101,9:50,5616,5617.95,5614.4,5617.95
20121101,9:51,5617.65,5620.15,5617.6,5620.1
20121101,9:52,5620.2,5620.25,5616.65,5616.9
20121101,9:53,5616.75,5621.35,5616.1,5621.15
20121101,9:54,5621.2,5621.3,5618.6,5618.95
20121101,9:55,5619.1,5619.35,5617.35,5617.35
20121101,9:56,5617.2,5617.65,5616.15,5616.85
20121101,9:57,5616.5,5616.9,5615.7,5616.25
20121101,9:58,5616.2,5616.75,5615.25,5615.3
20121101,9:59,5615.25,5615.9,5614.45,5614.7
20121101,10:00,5614.75,5616.25,5614.65,5616.25
20121101,10:01,5616.3,5616.45,5614.9,5615.2
20121101,10:02,5615,5615,5613.4,5613.65
20121101,10:03,5613.85,5613.95,5612.7,5612.8
20121101,10:04,5612.9,5613.1,5610.7,5611.85
20121101,10:05,5611.45,5611.85,5610.5,5611.35
20121101,10:06,5611.5,5613.65,5611.25,5613.65
20121101,10:07,5613.6,5614.3,5613.3,5614.15
20121101,10:08,5613.95,5614,5612.6,5612.75
20121101,10:09,5612.65,5612.65,5611.5,5611.6
20121101,10:10,5611.7,5613.1,5611.6,5613
20121101,10:11,5613.1,5614.7,5612.9,5613.85
20121101,10:12,5614.1,5614.35,5612.85,5613.45
20121101,10:13,5613.4,5613.65,5611.75,5612
20121101,10:14,5612.1,5612.1,5610,5610.2
20121101,10:15,5610.4,5612.05,5609.95,5611.7
20121101,10:16,5611.65,5612.7,5611.05,5612.7
20121101,10:17,5612.65,5614.25,5612.65,5614.15
20121101,10:18,5614.25,5615.05,5613.85,5614.1
20121101,10:19,5614.05,5615.55,5614.05,5615.15
20121101,10:20,5615.5,5616.1,5614.55,5615.55
20121101,10:21,5615.45,5615.45,5613.1,5613.3
20121101,10:22,5613.35,5613.8,5612.1,5612.25
20121101,10:23,5612.4,5614.25,5612.3,5613.9
20121101,10:24,5613.75,5613.9,5612.95,5613.2
20121101,10:25,5613.25,5613.4,5612.15,5612.4
20121101,10:26,5612.35,5613.15,5611.85,5611.85
20121101,10:27,5612.05,5612.5,5610.6,5610.8
20121101,10:28,5610.85,5610.95,5608.8,5609.35
20121101,10:29,5609.15,5610.25,5609.05,5609.7
20121101,10:30,5609.4,5609.75,5608.8,5608.8
20121101,10:31,5609.1,5609.1,5607.25,5607.3
20121101,10:32,5607.1,5607.1,5603.85,5603.85
20121101,10:33,5604,5604.15,5602.25,5602.35
20121101,10:34,5602.45,5604.2,5601.95,5603.95
20121101,10:35,5604.05,5605.25,5603.7,5605.05
20121101,10:36,5604.8,5605.05,5603.6,5603.85
20121101,10:37,5603.6,5604.8,5602.5,5604.8
20121101,10:38,5604.9,5606.55,5604.5,5606.55
20121101,10:39,5606.4,5608.1,5606.4,5608
20121101,10:40,5607.85,5608.6,5607.1,5608.1
20121101,10:41,5608.2,5608.2,5606.65,5606.9
20121101,10:42,5607.05,5607.85,5606.95,5607.1
20121101,10:43,5606.95,5607.2,5606.15,5606.35
20121101,10:44,5606.45,5608.05,5606.15,5608.05
20121101,10:45,5607.8,5607.95,5606.95,5607.45
20121101,10:46,5607.25,5607.4,5606.45,5606.6
20121101,10:47,5606.5,5607.8,5606.45,5607.75
20121101,10:48,5607.65,5609.55,5607.65,5609.15
20121101,10:49,5609.25,5610.05,5608.85,5609.75
20121101,10:50,5609.85,5610.65,5609.7,5610.5
20121101,10:51,5610.35,5610.6,5609.65,5610.15
20121101,10:52,5610.2,5611.3,5609.75,5611.3
20121101,10:53,5611.25,5611.25,5610.7,5610.8
20121101,10:54,5611,5611.35,5609.95,5610.2
20121101,10:55,5610.05,5610.1,5605.85,5606.35
20121101,10:56,5606.15,5606.45,5605.75,5605.9
20121101,10:57,5606,5606.1,5605.15,5605.85
20121101,10:58,5606.05,5607.15,5605.65,5607.1
20121101,10:59,5606.9,5607,5606.05,5606.65
20121101,11:00,5606.9,5607.2,5606.35,5606.6
20121101,11:01,5606.75,5606.75,5605.55,5605.75
20121101,11:02,5605.25,5607.75,5605.25,5607.7
20121101,11:03,5607.9,5608.7,5607.1,5608.3
20121101,11:04,5608.5,5610.1,5608.5,5609.95
20121101,11:05,5609.75,5610.1,5608.95,5609.6
20121101,11:06,5609.5,5610.2,5609.2,5610.2
20121101,11:07,5610.15,5610.2,5609.05,5609.1
20121101,11:08,5609.2,5609.85,5608.55,5609.75
20121101,11:09,5609.55,5609.9,5608.15,5608.2
20121101,11:10,5608.45,5608.95,5607.5,5608.1
20121101,11:11,5608.15,5608.15,5604.55,5604.85
20121101,11:12,5604.6,5604.6,5603.3,5603.7
20121101,11:13,5603.55,5605.25,5603.3,5605.25
20121101,11:14,5605.15,5605.8,5605.05,5605.45
20121101,11:15,5605.55,5606.35,5605.1,5605.2
20121101,11:16,5605.05,5605.55,5604.65,5605.35
20121101,11:17,5605.5,5607.2,5605.1,5607.2
20121101,11:18,5607.25,5609,5607.15,5609
20121101,11:19,5609.15,5609.6,5608.55,5608.95
20121101,11:20,5608.8,5609.85,5608.55,5609.7
20121101,11:21,5609.6,5612.05,5609.55,5611.95
20121101,11:22,5612.05,5612.05,5610.4,5610.55
20121101,11:23,5610.7,5611.1,5610.15,5610.3
20121101,11:24,5610.5,5611.15,5610,5610.95
20121101,11:25,5611.4,5614.3,5611.05,5614.3
20121101,11:26,5614.35,5615,5614.1,5614.25
20121101,11:27,5614.05,5614.45,5612.55,5613.2
20121101,11:28,5613,5613.35,5612.25,5612.65
20121101,11:29,5612.6,5614.7,5612.6,5614.55
20121101,11:30,5614.6,5616.5,5614.4,5616.5
20121101,11:31,5616.15,5618.05,5615.9,5617.1
20121101,11:32,5617.2,5618.6,5616.8,5618.6
20121101,11:33,5618.4,5619.1,5618.05,5618.65
20121101,11:34,5618.35,5618.75,5617.9,5618.05
20121101,11:35,5617.95,5622.45,5617.9,5622.45
20121101,11:36,5622.85,5627.85,5622.65,5627.2
20121101,11:37,5626.95,5626.95,5623.45,5624.45
20121101,11:38,5624.35,5624.55,5623.2,5624.35
20121101,11:39,5624.4,5624.95,5622.9,5622.9
20121101,11:40,5622.55,5622.55,5621.2,5621.95
20121101,11:41,5621.65,5623.35,5621.65,5622.75
20121101,11:42,5622.65,5623.9,5622.2,5623.45
20121101,11:43,5623.4,5625.05,5623.2,5624.75
20121101,11:44,5624.95,5624.95,5623.9,5624.2
20121101,11:45,5624,5624.05,5623.25,5623.35
20121101,11:46,5623.6,5624.75,5623.5,5624.7
20121101,11:47,5624.75,5627.9,5624.75,5627.45
20121101,11:48,5627.5,5630.55,5627.4,5629.6
20121101,11:49,5629.15,5630.05,5628.65,5630
20121101,11:50,5629.95,5633.7,5629.55,5633.6
20121101,11:51,5633.55,5633.6,5631.5,5631.65
20121101,11:52,5631.3,5631.3,5628.55,5629.6
